,source,disaster_type,report_dat,tags,Desa,Kecamatan,Kabupaten,Provinsi,long,lat,datetime
3958,grasp,earthquake,"{ ""points"": 2, ""condition"": 0, ""report_type"": ""road"", ""accessabilityFailure"": 1 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-BA"" }",Pujungan,Pupuan,Tabanan,Bali,115.0906384,-8.330499,2021-10-19 11:00:32
3959,grasp,earthquake,"{ ""report_type"": ""structure"", ""structureFailure"": 0 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-BA"" }",Kerta Mandala,Abang,Karang Asem,Bali,115.6120706,-8.3587992,2021-10-19 08:31:37
3960,grasp,earthquake,"{ ""report_type"": ""structure"", ""structureFailure"": 1 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-BA"" }",Culik,Abang,Karang Asem,Bali,115.61202759999999,-8.3479613,2021-10-19 10:54:38
3961,grasp,earthquake,"{ ""report_type"": ""structure"", ""structureFailure"": 1 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-BA"" }",Bunutan,Abang,Karang Asem,Bali,115.6692834,-8.3513515,2021-10-19 08:06:39
3962,grasp,earthquake,"{ ""report_type"": ""structure"", ""structureFailure"": 0 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-BA"" }",Purwakerti,Abang,Karang Asem,Bali,115.6356377,-8.3347765,2021-10-19 09:53:47
3963,grasp,earthquake,"{ ""report_type"": ""structure"", ""structureFailure"": 2 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-BA"" }",Pujungan,Pupuan,Tabanan,Bali,115.0909518,-8.330300099999999,2021-10-19 12:55:30
3964,grasp,earthquake,"{ ""report_type"": ""structure"", ""structureFailure"": 1 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-BA"" }",Bunutan,Abang,Karang Asem,Bali,115.6892967,-8.355370599999999,2021-10-19 11:36:35
3965,grasp,earthquake,"{ ""report_type"": ""structure"", ""structureFailure"": 1 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-BA"" }",Batur Utara,Kintamani,Bangli,Bali,115.3333875,-8.2509465,2021-10-19 12:29:08
3966,grasp,earthquake,"{ ""report_type"": ""structure"", ""structureFailure"": 0 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-BA"" }",Purwakerti,Abang,Karang Asem,Bali,115.63230790000001,-8.3321822,2021-10-19 10:55:56
3967,grasp,earthquake,"{ ""points"": 1, ""report_type"": ""structure"", ""structureFailure"": 0 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-BA"" }",Kerta Mandala,Abang,Karang Asem,Bali,115.61563249999999,-8.3582897,2021-10-19 07:50:09
3968,grasp,earthquake,"{ ""report_type"": ""road"", ""accessabilityFailure"": 4, ""condition"": 2 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-BA"" }",Ngis,Manggis,Karang Asem,Bali,115.5476601,-8.4597397,2021-10-19 07:10:35
3969,grasp,earthquake,"{ ""report_type"": ""road"", ""accessabilityFailure"": 4, ""condition"": 1 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-BA"" }",Datah,Abang,Karang Asem,Bali,115.5579758,-8.3460293,2021-10-19 07:44:45
3970,grasp,earthquake,"{ ""report_type"": ""road"", ""accessabilityFailure"": 2, ""condition"": 1 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-BA"" }",Bunutan,Abang,Karang Asem,Bali,115.699428,-8.3692473,2021-10-19 09:24:41
3971,grasp,earthquake,"{ ""report_type"": ""structure"", ""structureFailure"": 1 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-BA"" }",Terunyan,Kintamani,Bangli,Bali,115.42617050000001,-8.2525563,2021-10-19 12:21:23
3972,grasp,earthquake,"{ ""report_type"": ""structure"", ""structureFailure"": 0 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-BA"" }",Tri Buana,Abang,Karang Asem,Bali,115.6174994,-8.3862377,2021-10-19 08:08:38
3973,grasp,earthquake,"{ ""report_type"": ""structure"", ""structureFailure"": 0 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-BA"" }",Tri Buana,Abang,Karang Asem,Bali,115.6175081,-8.386242900000001,2021-10-19 08:10:55
3974,grasp,earthquake,"{ ""report_type"": ""structure"", ""structureFailure"": 1 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-BA"" }",Kerta Mandala,Abang,Karang Asem,Bali,115.6139912,-8.3501821,2021-10-19 07:45:14
3975,grasp,earthquake,"{ ""report_type"": ""road"", ""accessabilityFailure"": 3, ""condition"": 0 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-BA"" }",Kerta Mandala,Abang,Karang Asem,Bali,115.6145436,-8.349580099999999,2021-10-19 06:59:24
3976,grasp,earthquake,"{ ""report_type"": ""structure"", ""structureFailure"": 0 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-BA"" }",Laba Sari,Abang,Karang Asem,Bali,115.6145382,-8.3312102,2021-10-19 07:47:29
